relay,mean,variance,standard deviation,mean absolute deviation,median absolute deviation
1D2ACB5A633A881800C3B5C22E8C2C483EDDA347,0.6504161020119986,0.0028755114621370295,0.05116231468380108,0.03819415171941116,0.03463750388622279
1D3174338A1131A53E098443E76E1103CDED00DC,0.2799504697322845,0.00477043977659065,0.05363673804234959,0.037345714569091755,0.028772868490219067
1D35064C78D7CF07209E21768C438DBC88B90F2D,0.38332290450731915,0.0014889799793939955,0.03255115250453324,0.024219764073689726,0.024208330273628186
1D361A2F1CAE4FDD5A85E13C168BE7075A100524,0.2524669528007507,0.0015025437106205668,0.03616284814911606,0.02810680309931431,0.030315968018770165
1D43C22FCEAE121726C6075C6CF7DCD3F8D9C88A,0.23477883736292515,0.0005717918399358848,0.020710613025545648,0.014241066376368168,0.011944112616777367
1D4F3F077009207D5D41FD99F7638894ABC1AB93,0.674297080039978,0.0048113660366617,0.06904184067635312,0.049870050430297796,0.04693393235206598
1D516815D332389A516749FC8DFA9170F93D8F8D,0.7446205306053162,0.053480053732428715,0.19095927620966507,0.1537340860366821,0.13035496125698082
1D54F7CCB7C7A185EE8AA5616C079DD923EB57F2,0.3969713548819224,0.010660228230697823,0.07605254937903094,0.055108158588409395,0.03606260021328921
1D5A20A47771B80995711E20195A21ECB173E1C2,0.33469029664993283,0.0008714373820298251,0.028842692035834092,0.020898416042327835,0.017218422710895482
1D5B12BD85602D8D006D242F394A8EA304BD8275,0.3565452289581298,0.00165430220355204,0.038899249275071233,0.0278943367004394,0.02426356731891628
1D61A89F10F8218660E4958EB5482B1768A085F1,0.2431764927777377,0.0013405339374074638,0.027488877805129704,0.019256588762456662,0.01815580987280063
1D702DA43D588FE9D308D3879A6F5E61BB2ECCFA,0.28563628594080603,0.014613989604659665,0.06591768234245408,0.0531008915106455,0.0406504533410072
1D757131A740995CC1DB6F0C17167EDB531313C4,0.625458659728368,0.005922319449343724,0.06979047959658398,0.05104559659957882,0.04248104943633075
1D8009C68C89508CEAA6E23F9E039A3ED0E20D50,1.3610846519470214,0.009697338663178292,0.09271232337826332,0.060309229330583,0.027550472506609792
1D81272219B679D511930499AD8286BCD8F6C445,0.3641103029251099,0.004363750143060125,0.053562510671839814,0.03797536849975581,0.027352499949932052
1D88F5D86AE108640C347C36326DE2EA81A78040,0.7191416454315186,0.0307048331137309,0.13815905783215082,0.11170918846130366,0.04641781710147852
1D89A810BDF84522B6036034F499A766EF294DB1,0.3802480757236481,0.01947614980517946,0.09427197286944505,0.06452356179555253,0.04236856935024255
1D8DE4EF4BFA38D366FCE7249DC41A540D8E1EB9,0.343659222126007,0.00234988739368032,0.04246618597273556,0.03067931127548213,0.025581285445690095
